year,Team,GP,W,L,T,OTL,SOL,Pts,GF,GA,PIM,Att.,Coach,Playoff Results
2018,Detroit Red Wings,82,32,40,0,5,5,74,227,277,0,"19,121",Jeff Blashill,Out of Playoffs
2018,Ottawa Senators,82,29,47,0,5,1,64,242,302,0,"14,553","Boucher, Crawford {+}",Out of Playoffs
2018,Nashville Predators,82,47,29,0,4,2,100,240,214,0,"17,446",Peter Laviolette,Lost in round 1
2018,St. Louis Blues,82,45,28,0,6,3,99,247,223,0,"17,362","Yeo, Berube {+}",Won Championship
2018,Winnipeg Jets,82,47,30,0,4,1,99,272,244,0,"15,276",Paul Maurice,Lost in round 1
2018,Dallas Stars,82,43,32,0,5,2,93,210,202,0,"18,178",Jim Montgomery,Lost in round 2
2018,Colorado Avalanche,82,38,30,0,12,2,90,260,246,0,"17,133",Jared Bednar,Lost in round 2
2018,Chicago Blackhawks,82,36,34,0,11,1,84,270,292,0,"22,734","Quenneville, Colliton {+}",Out of Playoffs
2018,Minnesota Wild,82,37,36,0,5,4,83,211,237,0,"18,908",Bruce Boudreau,Out of Playoffs
2018,Washington Capitals,82,48,26,0,7,1,104,278,249,0,"18,508",Todd Reirden,Lost in round 1
2018,New York Islanders,82,48,27,0,2,5,103,228,196,0,"12,443",Barry Trotz,Lost in round 2
2018,Pittsburgh Penguins,82,44,26,0,9,3,100,273,241,0,"18,566",Mike Sullivan,Lost in round 1
2018,Carolina Hurricanes,82,46,29,0,5,2,99,245,223,0,"14,322",Rod Brind'Amour,Lost in round 3
2018,Columbus Blue Jackets,82,47,31,0,3,1,98,258,232,0,"16,658",John Tortorella,Lost in round 2
2018,Philadelphia Flyers,82,37,37,0,7,1,82,244,281,0,"20,372","Hakstol, Gordon {+}",Out of Playoffs
2018,New York Rangers,82,32,36,0,9,5,78,227,272,0,"17,319",David Quinn,Out of Playoffs
2018,New Jersey Devils,82,31,41,0,6,4,72,222,275,0,"14,834",John Hynes,Out of Playoffs
2018,Calgary Flames,82,50,25,0,3,4,107,289,227,0,"18,501",Bill Peters,Lost in round 1
2018,San Jose Sharks,82,46,27,0,6,3,101,289,261,0,"17,266",Peter DeBoer,Lost in round 3
2018,Vegas Golden Knights,82,43,32,0,5,2,93,249,230,0,"18,319",Gerard Gallant,Lost in round 1
2018,Arizona Coyotes,82,39,35,0,5,3,86,213,223,0,"13,989",Rick Tocchet,Out of Playoffs
2018,Vancouver Canucks,82,35,36,0,5,6,81,225,254,0,"18,022",Travis Green,Out of Playoffs
2018,Anaheim Ducks,82,35,37,0,7,3,80,199,251,0,"16,814","Carlyle, Murray {+}",Out of Playoffs
2018,Edmonton Oilers,82,35,38,0,6,3,79,232,274,0,"18,347","McLellan, Hitchcock {+}",Out of Playoffs
2018,Los Angeles Kings,82,31,42,0,5,4,71,202,263,0,"18,001","Stevens, Desjardins {+}",Out of Playoffs
2019,Boston Bruins,70,44,14,0,5,7,100,227,174,,17681,Bruce Cassidy,
2019,Tampa Bay Lightning,70,43,21,0,5,1,92,245,195,,18923,Jon Cooper,
2019,Toronto Maple Leafs,70,36,25,0,4,5,81,238,227,,19302,"Babcock, Keefe {+}",
2019,Florida Panthers,69,35,26,0,4,4,78,231,228,,14105,Joel Quenneville,
2019,Montreal Canadiens,71,31,31,0,8,1,71,212,221,,21085,Claude Julien,
2019,Buffalo Sabres,69,30,31,0,6,2,68,195,217,,17167,Ralph Krueger,
2019,Ottawa Senators,71,25,34,0,7,5,62,191,243,,12618,D.J. Smith,
2019,Detroit Red Wings,71,17,49,0,3,2,39,145,267,,18717,Jeff Blashill,
2019,St. Louis Blues,71,42,19,0,7,3,94,225,193,,18096,Craig Berube,
2019,Colorado Avalanche,70,42,20,0,7,1,92,237,191,,18708,Jared Bednar,
2019,Dallas Stars,69,37,24,0,5,3,82,180,177,,20326,"Montgomery, Bowness {+}",
2019,Winnipeg Jets,71,37,28,0,4,2,80,216,203,,15794,Paul Maurice,
2019,Nashville Predators,69,35,26,0,5,3,78,215,217,,17407,"Laviolette, Hynes {+}",
2019,Minnesota Wild,69,35,27,0,4,3,77,220,220,,17467,"Boudreau, Evason {+}",
2019,Chicago Blackhawks,70,32,30,0,4,4,72,212,218,,21441,Jeremy Colliton,
2019,Washington Capitals,69,41,20,0,5,3,90,240,215,,18573,Todd Reirden,
2019,Philadelphia Flyers,69,41,21,0,2,5,89,232,196,,18391,Alain Vigneault,
2019,Pittsburgh Penguins,69,40,23,0,6,0,86,224,196,,18538,Mike Sullivan,
2019,Carolina Hurricanes,68,38,25,0,5,0,81,222,193,,16795,Rod Brind'Amour,
2019,Columbus Blue Jackets,70,33,22,0,11,4,81,180,187,,16902,John Tortorella,
2019,New York Islanders,68,35,23,0,7,3,80,192,193,,12811,Barry Trotz,
2019,New York Rangers,70,37,28,0,3,2,79,234,222,,17207,David Quinn,
2019,New Jersey Devils,69,28,29,0,6,6,68,189,230,,14899,"Hynes, Nasreddine {+}",
2019,Vegas Golden Knights,71,39,24,0,6,2,86,227,211,,18311,"Gallant, DeBoer {+}",
2019,Edmonton Oilers,71,37,25,0,7,2,83,225,217,,17510,Dave Tippett,
2019,Calgary Flames,70,36,27,0,6,1,79,210,215,,18751,"Peters, Ward {+}",
2019,Vancouver Canucks,69,36,27,0,3,3,78,228,217,,18680,Travis Green,
2019,Arizona Coyotes,70,33,29,0,4,4,74,195,187,,14606,Rick Tocchet,
2019,Anaheim Ducks,71,29,33,0,8,1,67,187,226,,15847,Dallas Eakins,
2019,Los Angeles Kings,70,29,35,0,3,3,64,178,212,,16916,Todd McLellan,
2019,San Jose Sharks,70,29,36,0,4,1,63,182,226,,16428,"DeBoer, Boughner {+}",
